Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
53,0,437.41553,-118.46953,422.62128,338.63818,-14.930518,296.71448,249.43507,67.816086,190.63857,106.919586,212.12239,33.375507,153.92061,147.77486,102.932465,130.79636,257.90607,11.738021,28.836288,225.95612,13.038706,-8.700636,270.3649,23.879642
54,0,436.22876,-119.39128,422.20615,336.7611,-15.398381,296.84042,247.16605,67.905,191.49121,104.054,211.82663,32.828224,151.01396,147.24976,103.21961,128.08003,257.59955,11.460877,26.399628,225.33258,12.466132,-10.82032,269.85663,23.888971
55,0,434.9425,-120.32085,421.84363,334.7836,-15.872422,297.03085,244.8248,68.001465,192.42323,101.16379,211.51726,32.26271,148.06593,146.70677,103.536125,125.365715,257.27463,11.179537,23.959194,224.6955,11.865026,-12.908303,269.35733,23.900288
56,0,433.5539,-121.256584,421.5382,332.70248,-16.350893,297.2914,242.4091,68.10733,193.44092,98.252144,211.19345,31.677351,145.07857,146.14551,103.88438,122.65895,256.93015,10.894045,21.518557,224.04451,11.2322855,-14.958245,268.86896,23.913319
57,0,432.05945,-122.1965,421.2947,330.5145,-16.831795,297.62827,239.91588,68.22467,194.55109,95.32244,210.85449,31.070482,142.05362,145.56557,104.267075,119.96507,256.56512,10.604603,19.081142,223.37912,10.564589,-16.96393,268.39362,23.927757
58,0,430.45572,-123.13831,421.11816,328.21613,-17.312796,298.04794,237.34218,68.355774,195.76102,92.37782,210.49957,30.440422,138.99294,144.96661,104.687195,117.28952,256.1785,10.311522,16.650288,222.69868,9.858373,-18.918707,267.93362,23.943136
59,0,428.7386,-124.07923,421.01398,325.8036,-17.791218,298.55743,234.68419,68.50331,197.07858,89.42103,210.12787,29.785583,135.89787,144.34839,105.14814,114.63722,255.76942,10.015371,14.228837,222.00258,9.109874,-20.816235,267.4914,23.958975
60,0,426.90353,-125.01598,420.98788,323.27295,-18.263939,299.16415,231.9379,68.67022,198.51205,86.45478,209.7387,29.104439,132.76964,143.71071,105.65358,112.01291,255.33711,9.716895,11.819375,221.28998,8.315175,-22.650236,267.0695,23.974567
61,0,424.9456,-125.94465,421.04578,320.6203,-18.727448,299.87595,229.09889,68.85975,200.0702,83.48155,209.33138,28.395674,129.60927,143.0536,106.20768,109.421,254.88103,9.4171505,9.423788,220.56004,7.470223,-24.41437,266.6707,23.989054
62,0,422.8591,-126.86057,421.1939,317.84177,-19.17765,300.7009,226.16231,69.07552,201.76202,80.50336,208.90526,27.658249,126.417305,142.37727,106.81491,106.86513,254.4009,9.117524,7.043788,219.81189,6.570871,-26.102858,266.29782,24.001305
63,0,420.63797,-127.75816,421.43854,314.93332,-19.609896,301.6473,223.12305,69.32155,203.59679,77.52186,208.45995,26.891508,123.19401,141.68213,107.48017,104.34843,253.8967,8.819782,4.679869,219.04453,5.6129856,-27.710413,265.95395,24.009836
64,0,418.27536,-128.63074,421.786,311.8915,-20.018894,302.7235,219.97572,69.60217,205.5836,74.53797,207.99518,26.095392,119.938866,140.96909,108.20868,101.87296,253.36897,8.526171,2.33177,218.25703,4.592513,-29.232718,265.64212,24.012774
65,0,415.76407,-129.4703,422.2425,308.71313,-20.398594,303.93762,216.7146,69.92213,207.73134,71.55179,207.51097,25.270514,116.65067,140.23941,109.00594,99.43884,252.81877,8.2394,-0.0022803964,217.44846,3.5056317,-30.666945,265.36536,24.007679
66,0,413.09607,-130.26738,422.81378,305.39548,-20.742191,305.2972,213.3339,70.28648,210.04819,68.56198,207.00761,24.418377,113.32678,139.495,109.87768,97.04507,252.24774,7.9627805,-2.3262002,216.61789,2.3488965,-32.012375,265.12656,23.991438
67,0,410.26297,-131.0107,423.50497,301.93686,-21.042002,306.80902,209.82758,70.70067,212.54117,65.56536,206.48582,23.541645,109.96283,138.73836,110.829666,94.686935,251.65837,7.700144,-4.6462307,215.76451,1.119412,-33.271343,264.92828,23.960133
68,0,407.25577,-131.68716,424.32022,298.3361,-21.289473,308.47836,206.18887,71.170364,215.21573,62.55618,205.94669,22.644188,106.55238,137.97284,111.86753,92.356544,251.05408,7.455944,-6.972153,214.88768,-0.18489935,-34.45047,264.77274,23.908865
69,0,404.06525,-132.28148,425.2621,294.59323,-21.475174,310.30887,202.4111,71.70142,218.07507,59.525234,205.39183,21.731417,103.08566,137.20264,112.99662,90.041374,250.43913,7.235171,-9.317988,213.98683,-1.5651877,-35.561405,264.6611,23.831583
70,0,400.6819,-132.77634,426.33148,290.70905,-21.588821,312.3016,198.48615,72.299866,221.11966,56.458725,204.82338,20.810276,99.54907,136.43283,114.22164,87.72297,249.81892,7.0433116,-11.7031555,213.0616,-3.0214276,-36.622585,264.59375,23.72097
71,0,397.09586,-133.1522,427.52698,286.6848,-21.619373,314.455,194.40474,72.97158,224.34666,53.337246,204.24379,19.889387,95.923744,135.66948,115.546455,85.375496,249.19989,6.886245,-14.153458,212.11168,-4.552245,-37.6607,264.5696,23.56824
72,0,393.29703,-133.38757,428.84457,282.5219,-21.555115,316.76404,190.15503,73.72235,227.74963,50.134098,203.65611,18.978905,92.18499,134.91945,116.973755,82.964645,248.58943,6.7700596,-16.702394,211.1369,-6.154821,-38.71206,264.58612,23.363138
73,0,389.27475,-133.45926,430.27753,278.2207,-21.383898,319.22046,185.72144,74.55769,231.31825,46.81372,203.06346,18.090384,88.30011,134.19032,118.50482,80.44565,247.99577,6.7009115,-19.392662,210.13696,-7.824905,-39.824238,264.63885,23.093977
74,0,385.01736,-133.34279,431.81635,273.77924,-21.093298,321.81256,181.08366,75.48262,235.03847,43.330734,202.46913,17.23641,84.22793,133.4902,120.13942,77.762695,247.42784,6.6847396,-22.277004,209.1114,-9.556917,-41.056385,264.72156,22.747654
75,0,380.51193,-133.0129,433.44897,269.19174,-20.670895,324.52554,176.21407,76.5017,238.89304,39.62728,201.87613,16.430183,79.91729,132.82735,121.87574,74.847084,246.89487,6.7271323,-25.418987,208.05934,-11.344026,-42.481224,264.8261,22.310026
76,0,375.74255,-132.44406,435.16122,264.44653,-20.104446,327.34225,171.07628,77.61895,242.8623,35.633053,201.2871,15.684957,75.30587,132.20988,123.710526,71.61697,246.40623,6.833149,-28.89452,206.97916,-13.178566,-44.184536,264.9428,21.766182
77,0,370.6901,-131.61095,436.93787,259.52396,-19.382166,330.24414,165.62299,78.837814,246.92545,31.262983,200.7039,15.013489,70.319145,131.64546,125.639404,67.976746,245.97102,7.007252,-32.791897,205.8685,-15.05223,-46.266212,265.06076,21.101057
78,0,365.33008,-130.48848,438.76315,254.39407,-18.49269,333.21228,159.79411,80.16139,251.06175,26.41712,200.12756,14.427715,64.8698,131.14096,127.65743,63.81683,245.59781,7.2533307,-37.212543,204.72388,-16.956177,-48.8395,265.1684,20.29999
79,0,359.63144,-129.05205,440.62213,249.01501,-17.42525,336.22882,153.51521,81.59256,255.25212,20.97972,199.5581,13.938507,58.85672,130.70244,129.7598,59.013973,245.29465,7.5750484,-42.27097,203.5407,-18.88121,-52.031147,265.2542,19.349455
80,0,353.55457,-127.27679,442.50165,243.33078,-16.169323,339.27817,146.69635,83.13432,259.48062,14.81916,198.9946,13.555804,52.16502,130.33499,131.94266,53.431404,245.0689,7.9762616,-48.094917,202.3133,-20.817646,-55.98126,265.3074,18.237734
81,0,347.04962,-125.13717,444.3915,237.27034,-14.714543,342.34808,139.23125,84.79012,263.7354,7.7880673,198.4353,13.289071,44.665306,130.04294,134.20416,46.919777,244.9274,8.461679,-54.82471,201.03506,-22.75474,-60.842995,265.31848,16.955683
82,0,340.05457,-122.60563,446.28494,230.74586,-13.050091,345.43073,130.99663,86.5643,268.01,-0.27628398,197.87802,13.148279,36.214138,129.8302,136.54552,39.317196,244.87671,9.037768,-62.612446,199.69882,-24.680143,-66.78247,265.2799,15.497378
83,0,332.49283,-119.651535,448.1797,223.65178,-11.164284,348.52347,121.85191,88.46252,272.30396,-9.55114,197.32045,13.145124,26.65392,129.70059,138.97209,30.450613,244.92336,9.7138815,-71.6207,198.29715,-26.578836,-73.977875,265.18652,13.860668
